Window,CSU,Plant_background,Treatment,Block,Collar,Flux
July,Lawn,Managed lawn (turf species not recorded),CK,1,Lawn:CK:B1,292.5
July,Lawn,Managed lawn (turf species not recorded),CK,2,Lawn:CK:B2,215.0
July,Lawn,Managed lawn (turf species not recorded),CK,3,Lawn:CK:B3,260.0
July,Lawn,Managed lawn (turf species not recorded),DCD,1,Lawn:DCD:B1,182.0
July,Lawn,Managed lawn (turf species not recorded),DCD,2,Lawn:DCD:B2,224.0
July,Lawn,Managed lawn (turf species not recorded),DCD,3,Lawn:DCD:B3,190.0
July,Lawn,Managed lawn (turf species not recorded),Biochar,1,Lawn:Biochar:B1,164.2
July,Lawn,Managed lawn (turf species not recorded),Biochar,2,Lawn:Biochar:B2,124.6
July,Lawn,Managed lawn (turf species not recorded),Biochar,3,Lawn:Biochar:B3,174.8
July,PB,Pinus bungeana,CK,1,PB:CK:B1,113.5
July,PB,Pinus bungeana,CK,2,PB:CK:B2,123.2
July,PB,Pinus bungeana,CK,3,PB:CK:B3,107.4
July,PB,Pinus bungeana,DCD,1,PB:DCD:B1,144.0
July,PB,Pinus bungeana,DCD,2,PB:DCD:B2,101.2
July,PB,Pinus bungeana,DCD,3,PB:DCD:B3,122.6
July,PB,Pinus bungeana,Biochar,1,PB:Biochar:B1,99.7
July,PB,Pinus bungeana,Biochar,2,PB:Biochar:B2,129.9
July,PB,Pinus bungeana,Biochar,3,PB:Biochar:B3,105.3
July,PG,Phyllostachys glauca,CK,1,PG:CK:B1,148.4
July,PG,Phyllostachys glauca,CK,2,PG:CK:B2,113.4
July,PG,Phyllostachys glauca,CK,3,PG:CK:B3,165.2
July,PG,Phyllostachys glauca,DCD,1,PG:DCD:B1,114.1
July,PG,Phyllostachys glauca,DCD,2,PG:DCD:B2,130.2
July,PG,Phyllostachys glauca,DCD,3,PG:DCD:B3,107.9
July,PG,Phyllostachys glauca,Biochar,1,PG:Biochar:B1,136.9
July,PG,Phyllostachys glauca,Biochar,2,PG:Biochar:B2,100.6
July,PG,Phyllostachys glauca,Biochar,3,PG:Biochar:B3,121.7
July,SJ,Styphnolobium japonicum,CK,1,SJ:CK:B1,101.9
July,SJ,Styphnolobium japonicum,CK,2,SJ:CK:B2,125.4
July,SJ,Styphnolobium japonicum,CK,3,SJ:CK:B3,106.4
July,SJ,Styphnolobium japonicum,DCD,1,SJ:DCD:B1,102.6
July,SJ,Styphnolobium japonicum,DCD,2,SJ:DCD:B2,77.9
July,SJ,Styphnolobium japonicum,DCD,3,SJ:DCD:B3,109.3
July,SJ,Styphnolobium japonicum,Biochar,1,SJ:Biochar:B1,82.8
July,SJ,Styphnolobium japonicum,Biochar,2,SJ:Biochar:B2,89.9
July,SJ,Styphnolobium japonicum,Biochar,3,SJ:Biochar:B3,78.3
July,NZE,Ligustrum lucidum × Iris tectorum,CK,1,NZE:CK:B1,334.0
July,NZE,Ligustrum lucidum × Iris tectorum,CK,2,NZE:CK:B2,234.6
July,NZE,Ligustrum lucidum × Iris tectorum,CK,3,NZE:CK:B3,284.3
July,NZE,Ligustrum lucidum × Iris tectorum,DCD,1,NZE:DCD:B1,204.7
July,NZE,Ligustrum lucidum × Iris tectorum,DCD,2,NZE:DCD:B2,266.8
July,NZE,Ligustrum lucidum × Iris tectorum,DCD,3,NZE:DCD:B3,216.2
July,NZE,Ligustrum lucidum × Iris tectorum,Biochar,1,NZE:Biochar:B1,240.6
July,NZE,Ligustrum lucidum × Iris tectorum,Biochar,2,NZE:Biochar:B2,183.9
July,NZE,Ligustrum lucidum × Iris tectorum,Biochar,3,NZE:Biochar:B3,267.9
July,GB×CH,Ginkgo biloba × Cotoneaster horizontalis,CK,1,GB×CH:CK:B1,212.5
July,GB×CH,Ginkgo biloba × Cotoneaster horizontalis,CK,2,GB×CH:CK:B2,242.6
July,GB×CH,Ginkgo biloba × Cotoneaster horizontalis,CK,3,GB×CH:CK:B3,201.0
July,GB×CH,Ginkgo biloba × Cotoneaster horizontalis,DCD,1,GB×CH:DCD:B1,243.4
