CSU,Plant_background,Treatment,n_blocks,log_ratio,percent_change,ci_low_percent,ci_high_percent
AR×ND,Acer palmatum × Nandina domestica,DCD,3,-0.12086599289062949,-11.38472976013829,-21.42489862953152,-0.061648248346357626
GB×CH,Ginkgo biloba × Cotoneaster horizontalis,DCD,3,-0.07648855138025762,-7.363648018820578,-13.092289373595033,-1.2573953849651875
GYL×EF,Magnolia grandiflora × Euonymus fortunei,DCD,3,-0.13611138374989165,-12.72545825825625,-22.150159744616115,-2.1597782186250303
GYL×ND,Magnolia grandiflora × Nandina domestica,DCD,3,-0.14624585765964299,-13.605473049053153,-25.669606998500495,0.41672034382094214
Lawn,Managed lawn (turf species not recorded),DCD,3,-0.18708052617152224,-17.062305285400335,-26.47196820529427,-6.448451880532713
NZE,Ligustrum lucidum × Iris tectorum,DCD,3,-0.16547182213659042,-15.250625656858297,-28.42733832217379,0.35195398886707085
OF×RC,Osmanthus fragrans × Rosa chinensis,DCD,3,-0.3874408445467612,-32.12082127004007,-37.82694975974608,-25.890994775889787
PB,Pinus bungeana,DCD,3,-0.0035686249271929538,-0.35622649529609696,-11.063314625752874,11.639888044802028
PG,Phyllostachys glauca,DCD,3,-0.10547566110221256,-10.01036249338636,-22.450565080114625,4.425452834540056
SJ,Styphnolobium japonicum,DCD,3,-0.1680681031517078,-15.470373461544396,-22.06013512151259,-8.32345201174478
SJ×JN,Styphnolobium japonicum × Jasminum nudiflorum,DCD,3,-0.16431566984742293,-15.15258581013007,-26.35120407419911,-2.251169157467059
AR×ND,Acer palmatum × Nandina domestica,Biochar,3,-0.1863541978518418,-17.00204340665482,-25.52564382610042,-7.502915734033245
GB×CH,Ginkgo biloba × Cotoneaster horizontalis,Biochar,3,-0.1451572097298164,-13.511368612133456,-27.44798059700416,3.1023453364741993
GYL×EF,Magnolia grandiflora × Euonymus fortunei,Biochar,3,-0.2094563300263621,-18.89749438974162,-36.30156881505059,3.2618275505683414
GYL×ND,Magnolia grandiflora × Nandina domestica,Biochar,3,-0.189755596882611,-17.283872996600948,-25.470016292858645,-8.198588995708377
Lawn,Managed lawn (turf species not recorded),Biochar,3,-0.4237337135457939,-34.540183067192054,-41.33904383491645,-26.953327852039678
NZE,Ligustrum lucidum × Iris tectorum,Biochar,3,-0.2333737328979697,-20.81424250107158,-30.677186497912768,-9.5480423556337
OF×RC,Osmanthus fragrans × Rosa chinensis,Biochar,3,-0.3004698673108368,-25.952978381908075,-39.88270956753176,-8.795599883707894
PB,Pinus bungeana,Biochar,3,-0.060263823351690005,-5.84838931196805,-26.004944939204343,19.798894505416342
PG,Phyllostachys glauca,Biochar,3,-0.13234714297955988,-12.396316774771943,-21.118160498895477,-2.7101121986557675
SJ,Styphnolobium japonicum,Biochar,3,-0.21285955794650557,-19.17303557056599,-33.940558823828304,-1.104246984857793
SJ×JN,Styphnolobium japonicum × Jasminum nudiflorum,Biochar,3,-0.2250575377115843,-20.152972471475948,-30.35260973354742,-8.459630996226696
